roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.3682,1.0000,6.8819,1.8703,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,22,5.5000,0.0867,4,branching,medium,single,4,3,dispersed,medium,3,high,689327460,64fbe5ce-1bef-4931-b014-c33d9e5a2054,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.1385,0.6667,9.2780,2.1132,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,25,6.2500,0.1078,4,branching,medium,single,4,3,dispersed,medium,3,high,2139198335,bd16aa67-95d6-4d37-814f-48a6e42f8f31,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.4860,0.3333,11.7817,2.0465,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,20,5.0000,0.0608,4,branching,medium,single,4,3,dispersed,medium,3,high,1621710771,5ea95498-2879-4306-a2bc-f1d88d018de4,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.7175,0.6667,9.5843,2.1322,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,30,7.5000,0.1337,4,branching,medium,single,4,3,dispersed,medium,3,high,1599437660,c8084389-f635-4f4c-adf4-b23f38248ee9,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.7774,0.6667,10.4907,2.8525,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,27,6.7500,0.0775,4,branching,medium,single,4,3,dispersed,medium,3,high,1097857020,11b4879c-a825-4a4b-902b-f821672b9927,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,8.7299,0.3333,11.3280,1.8908,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,21,5.2500,0.0579,4,branching,medium,single,4,3,dispersed,medium,3,high,577142088,e19561ae-403a-4d73-bdb8-ca197e40b836,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,8.8661,0.3333,12.7438,2.6103,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,23,5.7500,0.0867,4,branching,medium,single,4,3,dispersed,medium,3,high,1614517150,8b65a0a2-23de-40ad-97ec-d7a7117c8020,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.4529,0.5000,11.7440,3.0569,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,24,6.0000,0.0969,4,branching,medium,single,4,3,dispersed,medium,3,high,1802473564,fb457f02-79d9-4cd8-80c1-1a4cd76d2d60,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.7754,0.5000,13.8644,11.2482,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,27,6.7500,0.1009,4,branching,medium,single,4,3,dispersed,medium,3,high,1207222060,d92b4620-3913-44fe-852a-67ddc3c13b36,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.4877,0.5000,9.7369,2.1428,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,26,6.5000,0.0964,4,branching,medium,single,4,3,dispersed,medium,3,high,1318301552,76dd5051-efcd-4750-8788-d0043750910f,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.4492,0.6667,9.8773,2.5190,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,27,6.7500,0.0877,4,branching,medium,single,4,3,dispersed,medium,3,high,1677019421,ea1f80f0-62f3-4852-85b2-4f9c324b26a2,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.7654,1.0000,6.0833,2.9693,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,20,5.0000,0.0558,4,branching,medium,single,4,3,dispersed,medium,3,high,1040944914,5b372c89-6d70-4276-a9fe-d4a9ffe9e0af,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.3927,1.0000,6.0015,1.8588,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,23,5.7500,0.0731,4,branching,medium,single,4,3,dispersed,medium,3,high,1995177230,eb0958ef-c187-4392-95d9-d703217e20f2,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.2213,0.8333,7.1762,2.2865,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,25,6.2500,0.0956,4,branching,medium,single,4,3,dispersed,medium,3,high,350054261,d600c8fd-02b9-442e-94a7-8cfcfd0902e5,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.2090,0.6667,5.7525,2.2604,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,28,7.0000,0.0970,4,branching,medium,single,4,3,dispersed,medium,3,high,269794250,d43a4529-c3d6-47a7-bf16-51d83c463e35,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.2207,0.3333,12.9973,2.7370,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,21,5.2500,0.0811,4,branching,medium,single,4,3,dispersed,medium,3,high,926223094,8b912a7e-96de-4da8-a91d-f1ddafa36f9b,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.7988,0.6667,13.9964,10.6417,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,29,7.2500,0.1219,4,branching,medium,single,4,3,dispersed,medium,3,high,414651320,637d55e6-25d5-43aa-95e1-e71da53b4a65,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.8406,0.6667,5.7281,2.5952,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,26,6.5000,0.0900,4,branching,medium,single,4,3,dispersed,medium,3,high,1672567525,7a051738-24d2-4d72-bbfa-9f81c092b5d4,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.0670,0.5000,8.9708,1.8793,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,25,6.2500,0.0807,4,branching,medium,single,4,3,dispersed,medium,3,high,1359492383,0fcb9700-df04-4531-a3d8-d6169f91eae5,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.7492,0.6667,9.7478,2.5642,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,21,5.2500,0.0684,4,branching,medium,single,4,3,dispersed,medium,3,high,486621826,e3cd235f-f77c-4448-8fe5-62434f6ef801,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.4112,0.3333,12.2782,2.5059,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,24,6.0000,0.1223,4,branching,medium,single,4,3,dispersed,medium,3,high,339936972,d84d6202-1b0d-494e-83aa-282623351558,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.5986,0.5000,11.6880,10.8710,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,29,7.2500,0.1064,4,branching,medium,single,4,3,dispersed,medium,3,high,2007355317,fb3bb871-3382-43a6-86cf-25862db66608,true,,
