withinFormRange,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage,failureCategory,seedRetries
false,13,12,1.8462,2,1,0.0000,3,0,11,1,0.0833,8.5868,1.0000,1.5167,1.5118,0.0000,1.0000,2.0000,0,1,0,1,0.0769,1.0000,57,4.3846,0.0631,13,hub_and_spoke,medium,multiple,13,2,clustered,high,1,low,1544575591,f4d7f152-8617-4af5-8cc5-957698c1e5b9,true,,,none,0
false,15,14,1.8667,7,4,0.0000,1,0,13,1,0.0714,30.4239,0.4000,27.6504,19.9689,0.1389,3.8333,3.0000,1,2,1,1,0.2667,1.8000,104,6.9333,0.0585,15,branching,large,single,15,5,deep,low,1,low,1819477188,fb86400b-4388-48f5-a2dd-7cdc48aeb0db,true,,,none,0
false,10,9,1.8000,7,4,0.0000,1,0,8,1,0.1111,30.1644,1.0000,4.2866,2.6697,0.1875,3.7500,3.0000,1,1,0,1,0.2000,1.0000,27,2.7000,0.0396,10,branching,medium,single,10,3,clustered,low,3,low,1835229120,bd9e790d-750d-4ef5-8744-70c834a00e3d,true,,,none,0
false,14,13,1.8571,6,3,0.0000,3,0,12,1,0.0769,8.6279,0.5333,8.6778,2.0774,0.6667,2.0000,3.5000,1,2,1,1,0.2857,2.2000,25,1.7857,0.0414,13,branching,small,multiple,14,5,dispersed,low,1,low,787079555,70e7c937-5f63-4ebc-8165-87eefd3e2c0e,true,,,none,0
false,7,6,1.7143,2,1,0.0000,3,0,5,1,0.1667,6.4238,1.0000,2.3640,2.3640,0.0000,1.0000,0.0000,0,0,0,1,0.0000,0.0000,16,2.2857,0.0598,7,hub_and_spoke,small,multiple,7,1,deep,medium,4,low,1654822469,28151444-2b1c-4c8b-9a9a-415a8ea3b600,true,,,none,0
true,5,4,1.6000,3,2,0.0000,1,0,3,1,0.2500,8.3755,0.6000,6.5087,1.7407,0.0000,1.0000,3.0000,0,2,1,1,0.8000,2.0000,29,5.8000,0.0951,5,branching,medium,single,5,4,front_loaded,low,1,medium,1179073933,bc912d6a-9a9a-471f-a852-e9fd666dc4bf,true,,,none,0
false,13,14,2.1538,6,4,0.1429,3,1,13,0,0.0000,15.6471,0.2000,34.1875,22.3714,0.6400,2.6000,4.0000,1,1,1,1,0.2308,2.0000,35,2.6923,0.0338,13,loop,medium,multiple,13,4,deep,low,5,medium,125469115,3c80efec-f67e-4d61-b65b-aa8e638c10d6,true,,,none,3
false,13,12,1.8462,2,1,0.0000,3,0,11,1,0.0833,6.3936,0.2381,9.1471,6.8123,0.0000,1.0000,2.0000,0,1,4,1,0.0769,1.6667,22,1.6923,0.0357,13,hub_and_spoke,small,multiple,13,6,dispersed,high,5,low,40189362,1c91dd82-5a83-4752-8f42-965ab56ef02d,true,,,none,0
false,10,9,1.8000,4,2,0.0000,3,0,8,1,0.1111,8.2340,0.5000,10.2330,3.2418,0.0000,1.0000,3.0000,1,1,1,1,0.2000,1.5000,43,4.3000,0.0643,10,branching,medium,multiple,10,4,front_loaded,low,5,low,1960248633,8c9ddc7c-772b-4809-818a-92cf8eec2793,true,,,none,0
false,13,12,1.8462,6,3,0.0000,1,2,9,1,0.0833,16.0975,0.4000,13.1126,1.9102,0.1600,2.8000,3.0000,0,2,1,1,0.3077,2.5000,104,8.0000,0.0778,13,branching,large,single,13,4,deep,high,2,medium,1312277647,df463342-e3bc-4f99-a21c-d2b5a6b01de7,true,,,none,0
