variedParameter,parameterValue,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
layoutType,linear,4,3,1.5000,3,3,0.0000,1,1,1,1,0.3333,14.4302,1.0000,7.0640,2.1843,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0685,4,linear,medium,single,4,3,dispersed,medium,3,medium,1648231194,6be9019f-e6f2-4623-85b7-2ee5dda144da,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,9.4414,0.8333,7.3448,2.2480,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0335,4,linear,medium,single,4,3,dispersed,medium,3,medium,317407388,f3ba6f4e-42ff-46fd-8e1a-52fb67aa4429,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,14.7779,1.0000,7.7495,3.2232,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0354,4,linear,medium,single,4,3,dispersed,medium,3,medium,1040319730,3cc65e97-cdf5-4b11-a1f4-7a8622a93432,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.6389,0.6667,8.9500,2.0922,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0377,4,linear,medium,single,4,3,dispersed,medium,3,medium,1806306391,558110bf-24d2-40c0-a95f-96103ff680e1,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,8.3319,0.8333,7.6397,2.2853,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,11,2.7500,0.0546,4,linear,medium,single,4,3,dispersed,medium,3,medium,747460672,b8c03850-ab87-4b3e-a79a-adc08a256cfa,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.2062,1.0000,6.8922,1.8391,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,16,4.0000,0.0577,4,linear,medium,single,4,3,dispersed,medium,3,medium,823230841,718f9efb-1044-41e2-8695-4124cf7f5f27,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,17.9940,0.6667,8.4623,1.8814,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0310,4,linear,medium,single,4,3,dispersed,medium,3,medium,1907048079,752a545d-1999-4396-be48-d9fc7aad1f89,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,14.2736,0.8333,7.2742,2.3170,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0468,4,linear,medium,single,4,3,dispersed,medium,3,medium,2126294205,5171bfbf-c606-443f-baf8-a0c987de80e7,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.9329,0.6667,8.6698,1.9315,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0337,4,linear,medium,single,4,3,dispersed,medium,3,medium,1460792516,4dbe385c-6ec4-4888-8c69-c30fdf4a8c53,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,15.2856,0.8333,6.9805,2.6119,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0405,4,linear,medium,single,4,3,dispersed,medium,3,medium,1327356651,7f590d0c-7d8a-4ffb-b1df-77316ebb3622,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,12.8495,0.6667,9.1237,2.9379,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,14,3.5000,0.0555,4,linear,medium,single,4,3,dispersed,medium,3,medium,1824982817,688702f0-9691-4877-871e-047bf04773f7,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.5785,0.6667,8.7847,2.2563,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,11,2.7500,0.0319,4,linear,medium,single,4,3,dispersed,medium,3,medium,1036214914,c379ab41-6524-4185-824c-696da6af47b1,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,9.4907,0.6667,7.4511,2.2805,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0510,4,linear,medium,single,4,3,dispersed,medium,3,medium,906069612,22adb74b-8339-431f-90b1-217d9dd26d91,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,14.8740,0.8333,7.2191,2.5678,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0326,4,linear,medium,single,4,3,dispersed,medium,3,medium,501415866,2f783bad-be84-4385-af5c-761edd4aec2a,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,8.7423,1.0000,6.9563,1.9325,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0569,4,linear,medium,single,4,3,dispersed,medium,3,medium,122698666,26fd1321-2fe2-4f47-b3a2-7b1268b53226,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,12.9733,1.0000,6.9919,1.8981,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,11,2.7500,0.0329,4,linear,medium,single,4,3,dispersed,medium,3,medium,622957818,08b58aa3-5682-41c2-9177-446f619d93d8,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,1,1,1,0.3333,13.2025,1.0000,7.0768,2.2427,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,10,2.5000,0.0283,4,linear,medium,single,4,3,dispersed,medium,3,medium,640496746,409a78c7-813b-46aa-8d54-7ef5a4bdd46c,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,1,1,1,0.3333,9.3785,0.8333,7.2748,2.9222,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0482,4,linear,medium,single,4,3,dispersed,medium,3,medium,915716104,a1e70c62-9659-4005-a487-feee30d54d49,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.2878,1.0000,7.0938,2.2376,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,15,3.7500,0.0454,4,linear,medium,single,4,3,dispersed,medium,3,medium,1133348892,cd9958e0-f154-4eb3-9e5e-a8ef4118d481,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,15.1662,0.6667,7.3095,1.8834,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0414,4,linear,medium,single,4,3,dispersed,medium,3,medium,980061848,019979b5-4abe-4175-995d-57623f3841bb,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,1,1,1,0.3333,14.5342,1.0000,6.9867,2.0922,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,14,3.5000,0.0596,4,linear,medium,single,4,3,dispersed,medium,3,medium,1164506704,569d6310-3fb3-4e10-be60-be3a68a9bbbd,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.3022,0.6667,8.4944,1.9629,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0409,4,linear,medium,single,4,3,dispersed,medium,3,medium,1765635207,a3e2c134-531c-46c2-a10f-6a6c0f2caa38,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,14.1372,0.6667,8.8985,2.8613,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,15,3.7500,0.0459,4,linear,medium,single,4,3,dispersed,medium,3,medium,990875325,12c93481-d431-4db9-ba11-fa50d708743d,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,9.4304,0.8333,7.1034,1.9056,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,11,2.7500,0.0493,4,linear,medium,single,4,3,dispersed,medium,3,medium,1950129393,f6ec8585-b2cc-4686-8f3a-ac3dd7814bfa,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.0676,0.6667,8.8614,2.6756,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0335,4,linear,medium,single,4,3,dispersed,medium,3,medium,707697646,cff88643-157c-454c-afdd-e09950b28825,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.5356,0.6667,9.1230,2.7015,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,10,2.5000,0.0408,4,linear,medium,single,4,3,dispersed,medium,3,medium,1079219496,9a421c8f-eca7-4618-9fad-2a7d3e4144f9,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,1,1,1,0.3333,13.3730,1.0000,7.4605,2.3886,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,11,2.7500,0.0332,4,linear,medium,single,4,3,dispersed,medium,3,medium,604140351,32f344a0-5d7b-4519-ad15-8569c5a33dd5,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,8.4280,0.8333,7.6379,2.5643,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0305,4,linear,medium,single,4,3,dispersed,medium,3,medium,1479682257,ec8d5482-764e-4c47-bac2-c099675302dd,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,17.8781,0.6667,8.3641,2.1024,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0541,4,linear,medium,single,4,3,dispersed,medium,3,medium,1278190934,b9c06247-b4d6-4c6f-9523-a1e1393ed4e1,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,9.4358,0.8333,7.0678,1.9542,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0343,4,linear,medium,single,4,3,dispersed,medium,3,medium,2067872380,a37afc01-e2db-4164-83a0-161e3b8579e4,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.3858,0.6667,8.9564,2.5344,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0426,4,linear,medium,single,4,3,dispersed,medium,3,medium,1159962225,e9dc5458-ee7f-4c60-9031-da986d16a48c,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,14.5444,1.0000,7.1677,2.0837,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0677,4,linear,medium,single,4,3,dispersed,medium,3,medium,1601580341,efc6bcb1-74fb-4eaa-8959-8850acc0236d,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,1,1,1,0.3333,13.2533,1.0000,6.7664,1.9191,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,14,3.5000,0.0743,4,linear,medium,single,4,3,dispersed,medium,3,medium,94066091,6dfba9b9-18e9-468c-bf97-42533ad62522,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,1,1,1,0.3333,13.6917,0.6667,8.6620,2.3478,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0393,4,linear,medium,single,4,3,dispersed,medium,3,medium,821249754,7f67f929-6b5c-4f51-b413-78140e512fc8,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,1,1,1,0.3333,15.1907,0.6667,7.4308,2.0083,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0425,4,linear,medium,single,4,3,dispersed,medium,3,medium,2004857464,e0c49121-483a-4727-9ee2-43b6e9ad436a,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,14.2718,0.6667,9.0134,2.5261,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,11,2.7500,0.0277,4,linear,medium,single,4,3,dispersed,medium,3,medium,628115290,0921ef9d-b6ec-474f-884b-371119d0655b,true,,
layoutType,branching,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.7765,0.5000,8.8145,2.3668,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,25,6.2500,0.1110,4,branching,medium,single,4,3,dispersed,medium,3,medium,2003185578,cd228898-908f-4d90-bf6a-04727b9da059,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.5178,0.3333,12.6950,2.6279,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,20,5.0000,0.0806,4,branching,medium,single,4,3,dispersed,medium,3,medium,156763947,ffba395a-7c48-4c62-be89-901cc26da737,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.1210,0.6667,9.3466,2.7304,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,16,4.0000,0.0517,4,branching,medium,single,4,3,dispersed,medium,3,medium,934232352,2f69f943-b541-4e09-86ef-9686093c1384,true,,
layoutType,branching,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.3816,0.8333,5.9589,2.9465,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,23,5.7500,0.0882,4,branching,medium,single,4,3,dispersed,medium,3,medium,866936591,69ef0f58-0a30-441f-a16e-1e6db0fa96a8,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.3463,0.8333,7.0346,1.7391,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,18,4.5000,0.0689,4,branching,medium,single,4,3,dispersed,medium,3,medium,179614788,09ad741f-3ff8-43d0-9a10-659918dc3f1b,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,8.6907,0.3333,11.9006,2.3733,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,18,4.5000,0.0607,4,branching,medium,single,4,3,dispersed,medium,3,medium,1941197564,f7d0cf85-a24b-49c6-b63e-236cde81fcaf,true,,
layoutType,branching,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.5632,0.5000,15.1183,11.3096,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,21,5.2500,0.0782,4,branching,medium,single,4,3,dispersed,medium,3,medium,456230137,15114603-488d-46d5-8260-6c17ecd14391,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,8.7953,0.3333,12.4066,2.6536,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,17,4.2500,0.0602,4,branching,medium,single,4,3,dispersed,medium,3,medium,272616828,e090545c-7495-49ed-bb44-7fe03cd4b923,true,,
layoutType,branching,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.5501,0.6667,12.2205,9.2405,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,20,5.0000,0.0606,4,branching,medium,single,4,3,dispersed,medium,3,medium,122912259,50d1246e-ac34-4bb3-9a98-91297d944776,true,,
layoutType,branching,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.9088,0.6667,14.1330,11.6701,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,18,4.5000,0.0492,4,branching,medium,single,4,3,dispersed,medium,3,medium,773027171,5c4607ad-0aec-40c4-b782-f1658fad32f3,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.9537,1.0000,6.0787,2.3443,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,16,4.0000,0.0598,4,branching,medium,single,4,3,dispersed,medium,3,medium,311056171,523d6e9c-b3e1-4c3d-b262-3e9e382562e0,true,,
layoutType,branching,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.6142,0.1667,10.3114,2.0033,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,22,5.5000,0.1022,4,branching,medium,single,4,3,dispersed,medium,3,medium,399978481,f8fb34bd-556c-4a74-a0da-38098bbb8929,true,,
layoutType,branching,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,6.8600,1.0000,7.7113,2.2706,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,19,4.7500,0.0534,4,branching,medium,single,4,3,dispersed,medium,3,medium,504682577,acb8e5e4-d5bc-4167-8aa9-cdd12f62aa8b,true,,
