event_type,event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
GunshotHeard,0,Full,0.52,-13.94,AblationNPC_07,Roamer,7.89,1,0.50
GunshotHeard,0,NoLOS,0.52,-13.94,AblationNPC_01,Roamer,18.76,0,0.80
GunshotHeard,0,NoDistance,0.52,-13.94,AblationNPC_07,Roamer,7.89,1,0.50
GunshotHeard,0,NoRole,0.52,-13.94,AblationNPC_00,Guard,5.52,1,1.00
GunshotHeard,0,NoState,0.52,-13.94,AblationNPC_07,Roamer,7.89,1,0.50
GunshotHeard,1,Full,9.42,2.32,AblationNPC_04,Roamer,19.99,1,0.10
GunshotHeard,1,NoLOS,9.42,2.32,AblationNPC_01,Roamer,20.72,0,0.80
GunshotHeard,1,NoDistance,9.42,2.32,AblationNPC_04,Roamer,19.99,1,0.10
GunshotHeard,1,NoRole,9.42,2.32,AblationNPC_00,Guard,13.80,1,1.00
GunshotHeard,1,NoState,9.42,2.32,AblationNPC_04,Roamer,19.99,1,0.10
GunshotHeard,2,Full,-3.08,-10.43,AblationNPC_07,Roamer,3.28,1,0.50
GunshotHeard,2,NoLOS,-3.08,-10.43,AblationNPC_07,Roamer,3.28,1,0.50
GunshotHeard,2,NoDistance,-3.08,-10.43,AblationNPC_07,Roamer,3.28,1,0.50
GunshotHeard,2,NoRole,-3.08,-10.43,AblationNPC_05,Leader,5.82,1,1.00
GunshotHeard,2,NoState,-3.08,-10.43,AblationNPC_07,Roamer,3.28,1,0.50
GunshotHeard,3,Full,-12.30,6.15,AblationNPC_01,Roamer,5.57,1,0.80
GunshotHeard,3,NoLOS,-12.30,6.15,AblationNPC_01,Roamer,5.57,1,0.80
GunshotHeard,3,NoDistance,-12.30,6.15,AblationNPC_01,Roamer,5.57,1,0.80
GunshotHeard,3,NoRole,-12.30,6.15,AblationNPC_01,Roamer,5.57,1,0.80
GunshotHeard,3,NoState,-12.30,6.15,AblationNPC_04,Roamer,3.02,1,0.10
GunshotHeard,4,Full,9.49,1.20,AblationNPC_04,Roamer,20.39,1,0.10
GunshotHeard,4,NoLOS,9.49,1.20,AblationNPC_01,Roamer,20.73,0,0.80
GunshotHeard,4,NoDistance,9.49,1.20,AblationNPC_04,Roamer,20.39,1,0.10
GunshotHeard,4,NoRole,9.49,1.20,AblationNPC_00,Guard,12.77,1,1.00
GunshotHeard,4,NoState,9.49,1.20,AblationNPC_04,Roamer,20.39,1,0.10
GunshotHeard,5,Full,-13.68,6.33,AblationNPC_01,Roamer,6.16,1,0.80
GunshotHeard,5,NoLOS,-13.68,6.33,AblationNPC_01,Roamer,6.16,1,0.80
