event_type,event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
GunshotHeard,10,NoState,9.63,-14.88,AblationNPC_07,Roamer,15.28,1,0.50
GunshotHeard,11,Full,1.07,9.16,AblationNPC_01,Roamer,14.94,1,0.80
GunshotHeard,11,NoLOS,1.07,9.16,AblationNPC_01,Roamer,14.94,1,0.80
GunshotHeard,11,NoDistance,1.07,9.16,AblationNPC_01,Roamer,14.94,1,0.80
GunshotHeard,11,NoRole,1.07,9.16,AblationNPC_01,Roamer,14.94,1,0.80
GunshotHeard,11,NoState,1.07,9.16,AblationNPC_04,Roamer,10.94,1,0.10
GunshotHeard,12,Full,7.45,-3.46,AblationNPC_01,Roamer,19.14,0,0.80
GunshotHeard,12,NoLOS,7.45,-3.46,AblationNPC_01,Roamer,19.14,0,0.80
GunshotHeard,12,NoDistance,7.45,-3.46,AblationNPC_01,Roamer,19.14,0,0.80
GunshotHeard,12,NoRole,7.45,-3.46,AblationNPC_00,Guard,7.70,1,1.00
GunshotHeard,12,NoState,7.45,-3.46,AblationNPC_07,Roamer,11.64,0,0.50
GunshotHeard,13,Full,-10.53,-14.21,AblationNPC_01,Roamer,14.91,1,0.80
GunshotHeard,13,NoLOS,-10.53,-14.21,AblationNPC_01,Roamer,14.91,1,0.80
GunshotHeard,13,NoDistance,-10.53,-14.21,AblationNPC_01,Roamer,14.91,1,0.80
GunshotHeard,13,NoRole,-10.53,-14.21,AblationNPC_05,Leader,7.39,1,1.00
GunshotHeard,13,NoState,-10.53,-14.21,AblationNPC_07,Roamer,9.88,1,0.50
GunshotHeard,14,Full,-13.47,8.45,AblationNPC_01,Roamer,8.08,1,0.80
GunshotHeard,14,NoLOS,-13.47,8.45,AblationNPC_01,Roamer,8.08,1,0.80
GunshotHeard,14,NoDistance,-13.47,8.45,AblationNPC_01,Roamer,8.08,1,0.80
GunshotHeard,14,NoRole,-13.47,8.45,AblationNPC_05,Leader,16.67,1,1.00
GunshotHeard,14,NoState,-13.47,8.45,AblationNPC_04,Roamer,3.73,1,0.10
GunshotHeard,15,Full,3.79,-11.54,AblationNPC_07,Roamer,8.55,1,0.50
GunshotHeard,15,NoLOS,3.79,-11.54,AblationNPC_01,Roamer,19.37,0,0.80
GunshotHeard,15,NoDistance,3.79,-11.54,AblationNPC_07,Roamer,8.55,1,0.50
GunshotHeard,15,NoRole,3.79,-11.54,AblationNPC_00,Guard,1.47,1,1.00
GunshotHeard,15,NoState,3.79,-11.54,AblationNPC_07,Roamer,8.55,1,0.50
GunshotHeard,16,Full,-7.50,8.17,AblationNPC_01,Roamer,8.37,1,0.80
GunshotHeard,16,NoLOS,-7.50,8.17,AblationNPC_01,Roamer,8.37,1,0.80
GunshotHeard,16,NoDistance,-7.50,8.17,AblationNPC_01,Roamer,8.37,1,0.80
GunshotHeard,16,NoRole,-7.50,8.17,AblationNPC_05,Leader,15.46,1,1.00
GunshotHeard,16,NoState,-7.50,8.17,AblationNPC_04,Roamer,2.31,1,0.10
GunshotHeard,17,Full,-6.31,4.44,AblationNPC_01,Roamer,6.20,1,0.80
GunshotHeard,17,NoLOS,-6.31,4.44,AblationNPC_01,Roamer,6.20,1,0.80
GunshotHeard,17,NoDistance,-6.31,4.44,AblationNPC_01,Roamer,6.20,1,0.80
GunshotHeard,17,NoRole,-6.31,4.44,AblationNPC_05,Leader,11.84,1,1.00
GunshotHeard,17,NoState,-6.31,4.44,AblationNPC_04,Roamer,4.86,1,0.10
GunshotHeard,18,Full,-10.69,-13.67,AblationNPC_01,Roamer,14.36,1,0.80
GunshotHeard,18,NoLOS,-10.69,-13.67,AblationNPC_01,Roamer,14.36,1,0.80
GunshotHeard,18,NoDistance,-10.69,-13.67,AblationNPC_01,Roamer,14.36,1,0.80
GunshotHeard,18,NoRole,-10.69,-13.67,AblationNPC_05,Leader,6.94,1,1.00
GunshotHeard,18,NoState,-10.69,-13.67,AblationNPC_07,Roamer,9.62,1,0.50
GunshotHeard,19,Full,3.14,0.48,AblationNPC_01,Roamer,14.37,0,0.80
GunshotHeard,19,NoLOS,3.14,0.48,AblationNPC_01,Roamer,14.37,0,0.80
GunshotHeard,19,NoDistance,3.14,0.48,AblationNPC_01,Roamer,14.37,0,0.80
GunshotHeard,19,NoRole,3.14,0.48,AblationNPC_00,Guard,11.41,0,1.00
GunshotHeard,19,NoState,3.14,0.48,AblationNPC_07,Roamer,10.19,0,0.50
GunshotHeard,20,Full,-13.48,-2.39,AblationNPC_01,Roamer,3.80,1,0.80
GunshotHeard,20,NoLOS,-13.48,-2.39,AblationNPC_01,Roamer,3.80,1,0.80
GunshotHeard,20,NoDistance,-13.48,-2.39,AblationNPC_01,Roamer,3.80,1,0.80
GunshotHeard,20,NoRole,-13.48,-2.39,AblationNPC_01,Roamer,3.80,1,0.80
GunshotHeard,20,NoState,-13.48,-2.39,AblationNPC_01,Roamer,3.80,1,0.80
GunshotHeard,21,Full,6.20,3.85,AblationNPC_01,Roamer,17.72,1,0.80
GunshotHeard,21,NoLOS,6.20,3.85,AblationNPC_01,Roamer,17.72,1,0.80
GunshotHeard,21,NoDistance,6.20,3.85,AblationNPC_01,Roamer,17.72,1,0.80
GunshotHeard,21,NoRole,6.20,3.85,AblationNPC_00,Guard,14.67,1,1.00
GunshotHeard,21,NoState,6.20,3.85,AblationNPC_04,Roamer,16.48,1,0.10
GunshotHeard,22,Full,-8.45,-14.60,AblationNPC_01,Roamer,15.54,0,0.80
GunshotHeard,22,NoLOS,-8.45,-14.60,AblationNPC_01,Roamer,15.54,0,0.80
GunshotHeard,22,NoDistance,-8.45,-14.60,AblationNPC_01,Roamer,15.54,0,0.80
GunshotHeard,22,NoRole,-8.45,-14.60,AblationNPC_05,Leader,7.34,0,1.00
GunshotHeard,22,NoState,-8.45,-14.60,AblationNPC_07,Roamer,8.87,0,0.50
GunshotHeard,23,Full,-4.05,-6.98,AblationNPC_07,Roamer,0.52,0,0.50
GunshotHeard,23,NoLOS,-4.05,-6.98,AblationNPC_07,Roamer,0.52,0,0.50
GunshotHeard,23,NoDistance,-4.05,-6.98,AblationNPC_01,Roamer,10.51,0,0.80
GunshotHeard,23,NoRole,-4.05,-6.98,AblationNPC_07,Roamer,0.52,0,0.50
GunshotHeard,23,NoState,-4.05,-6.98,AblationNPC_07,Roamer,0.52,0,0.50
GunshotHeard,24,Full,-12.94,6.55,AblationNPC_01,Roamer,6.11,1,0.80
GunshotHeard,24,NoLOS,-12.94,6.55,AblationNPC_01,Roamer,6.11,1,0.80
GunshotHeard,24,NoDistance,-12.94,6.55,AblationNPC_01,Roamer,6.11,1,0.80
GunshotHeard,24,NoRole,-12.94,6.55,AblationNPC_05,Leader,14.69,1,1.00
GunshotHeard,24,NoState,-12.94,6.55,AblationNPC_04,Roamer,3.40,1,0.10
GunshotHeard,25,Full,-12.87,-1.08,AblationNPC_01,Roamer,2.40,1,0.80
GunshotHeard,25,NoLOS,-12.87,-1.08,AblationNPC_01,Roamer,2.40,1,0.80
GunshotHeard,25,NoDistance,-12.87,-1.08,AblationNPC_01,Roamer,2.40,1,0.80
GunshotHeard,25,NoRole,-12.87,-1.08,AblationNPC_01,Roamer,2.40,1,0.80
GunshotHeard,25,NoState,-12.87,-1.08,AblationNPC_01,Roamer,2.40,1,0.80
GunshotHeard,26,Full,-14.64,8.93,AblationNPC_01,Roamer,8.93,1,0.80
GunshotHeard,26,NoLOS,-14.64,8.93,AblationNPC_01,Roamer,8.93,1,0.80
GunshotHeard,26,NoDistance,-14.64,8.93,AblationNPC_01,Roamer,8.93,1,0.80
GunshotHeard,26,NoRole,-14.64,8.93,AblationNPC_05,Leader,17.54,1,1.00
GunshotHeard,26,NoState,-14.64,8.93,AblationNPC_04,Roamer,4.97,1,0.10
GunshotHeard,27,Full,-1.82,0.40,AblationNPC_01,Roamer,9.41,0,0.80
GunshotHeard,27,NoLOS,-1.82,0.40,AblationNPC_01,Roamer,9.41,0,0.80
GunshotHeard,27,NoDistance,-1.82,0.40,AblationNPC_01,Roamer,9.41,0,0.80
GunshotHeard,27,NoRole,-1.82,0.40,AblationNPC_05,Leader,9.84,0,1.00
GunshotHeard,27,NoState,-1.82,0.40,AblationNPC_07,Roamer,7.80,0,0.50
GunshotHeard,28,Full,-0.01,-14.73,AblationNPC_01,Roamer,19.07,0,0.80
GunshotHeard,28,NoLOS,-0.01,-14.73,AblationNPC_01,Roamer,19.07,0,0.80
GunshotHeard,28,NoDistance,-0.01,-14.73,AblationNPC_01,Roamer,19.07,0,0.80
GunshotHeard,28,NoRole,-0.01,-14.73,AblationNPC_00,Guard,6.42,1,1.00
GunshotHeard,28,NoState,-0.01,-14.73,AblationNPC_07,Roamer,8.34,0,0.50
GunshotHeard,29,Full,9.87,-14.61,AblationNPC_07,Roamer,15.35,1,0.50
GunshotHeard,29,NoLOS,9.87,-14.61,AblationNPC_01,Roamer,26.06,0,0.80
GunshotHeard,29,NoDistance,9.87,-14.61,AblationNPC_07,Roamer,15.35,1,0.50
GunshotHeard,29,NoRole,9.87,-14.61,AblationNPC_00,Guard,6.16,1,1.00
GunshotHeard,29,NoState,9.87,-14.61,AblationNPC_07,Roamer,15.35,1,0.50
GunshotHeard,30,Full,-14.91,-13.09,AblationNPC_01,Roamer,14.25,1,0.80
GunshotHeard,30,NoLOS,-14.91,-13.09,AblationNPC_01,Roamer,14.25,1,0.80
